Date,Cases,Deaths,New Cases,New Deaths,,Date,Cases Normalized,Deaths Normalized,,Date,New Cases Normalized,New Deaths Normalized,,,,,,,Date,New Deaths,5-Day Average
3/15/20,32,0,32,0,,3/15/20,0.002551224,0,,3/15/20,0.06374502,0,,,,,,,3/15/20,0,0
3/16/20,47,0,15,0,,3/16/20,0.00374711,0,,3/16/20,0.029880478,0,,,,,,,3/16/20,0,0
3/17/20,72,0,25,0,,3/17/20,0.005740254,0,,3/17/20,0.049800797,0,,,,,,,3/17/20,0,0
3/18/20,106,0,34,0,,3/18/20,0.008450929,0,,3/18/20,0.067729084,0,,,,,,,3/18/20,0,0.6
3/19/20,155,0,49,0,,3/19/20,0.01235749,0,,3/19/20,0.097609562,0,,,,,,,3/19/20,0,0.8
3/20/20,206,3,51,3,,3/20/20,0.016423503,0.006622517,,3/20/20,0.101593625,0.157894737,,,,,,,3/20/20,3,0.8
3/21/20,281,4,75,1,,3/21/20,0.022402934,0.008830022,,3/21/20,0.14940239,0.052631579,,,,,,,3/21/20,1,1
3/22/20,381,4,100,0,,3/22/20,0.030375508,0.008830022,,3/22/20,0.199203187,0,,,,,,,3/22/20,0,1
3/23/20,416,5,35,1,,3/23/20,0.033165909,0.011037528,,3/23/20,0.069721116,0.052631579,,,,,,,3/23/20,1,0.6
3/24/20,457,5,41,0,,3/24/20,0.036434665,0.011037528,,3/24/20,0.081673307,0,,,,,,,3/24/20,0,0.8
3/25/20,585,6,128,1,,3/25/20,0.04663956,0.013245033,,3/25/20,0.25498008,0.052631579,,,,,,,3/25/20,1,1.8
3/26/20,707,8,122,2,,3/26/20,0.056366101,0.017660044,,3/26/20,0.243027888,0.105263158,,,,,,,3/26/20,2,1.6
3/27/20,842,13,135,5,,3/27/20,0.067129076,0.028697572,,3/27/20,0.268924303,0.263157895,,,,,,,3/27/20,5,1.6
3/28/20,989,13,147,0,,3/28/20,0.07884876,0.028697572,,3/28/20,0.292828685,0,,,,,,,3/28/20,0,1.6
3/29/20,1112,13,123,0,,3/29/20,0.088655027,0.028697572,,3/29/20,0.24501992,0,,,,,,,3/29/20,0,1.6
3/30/20,1221,14,109,1,,3/30/20,0.097345133,0.030905077,,3/30/20,0.217131474,0.052631579,,,,,,,3/30/20,1,2.2
3/31/20,1351,16,130,2,,3/31/20,0.107709479,0.035320088,,3/31/20,0.258964143,0.105263158,,,,,,,3/31/20,2,3.6
